Rank,Name,G,TD,FG,1XP,2XP,Safety,Points,Points/G
104,Texas A&M,13,56,15,47,4,0,436,33.5
106,Florida Atlantic,12,52,15,46,1,0,405,33.8
107,Utah State,12,54,9,51,1,2,408,34
108,Miami (Ohio),12,55,10,50,0,0,410,34.2
109,San Jose State,12,54,13,51,0,0,414,34.5
110,Memphis,12,53,17,49,0,0,418,34.8
111,Florida International,12,55,14,52,0,0,424,35.3
112,North Texas,12,54,17,48,1,1,427,35.6
113,New Mexico,12,56,12,51,1,3,431,35.9
114,Idaho,13,63,10,54,3,0,468,36
115,Tulane,12,57,15,49,2,0,440,36.7
116,Toledo,12,60,12,54,1,0,452,37.7
117,Eastern Michigan,12,62,9,56,1,1,459,38.3
118,Washington State,12,60,14,54,2,1,462,38.5
119,Western Kentucky,12,63,12,59,0,1,475,39.6
120,Rice,12,70,11,64,0,0,517,43.1
