Rank,Name,G,Rush Yards,Pass Yards,Plays,Total Yards,Yards/Play,Yards/G
113,Louisiana-Monroe,7,1175,1958,501,3133,6.25,447.6
114,Hawai'i,8,1210,2376,638,3586,5.62,448.3
114,Western Kentucky,7,1205,1933,538,3138,5.83,448.3
116,UNLV,7,1116,2025,491,3141,6.4,448.7
117,Akron,8,1740,1853,501,3593,7.17,449.1
118,Louisiana Tech,7,1074,2079,527,3153,5.98,450.4
119,TCU,7,1489,1669,456,3158,6.93,451.1
120,Vanderbilt,8,1371,2291,558,3662,6.56,457.8
121,New Mexico State,8,1475,2211,527,3686,6.99,460.8
122,South Florida,7,1410,1838,469,3248,6.93,464
123,Kansas,7,1713,1586,455,3299,7.25,471.3
124,Kent State,8,1632,2163,614,3795,6.18,474.4
125,Florida International,7,1269,2153,525,3422,6.52,488.9
126,Missouri,7,2013,1412,505,3425,6.78,489.3
127,Georgia Southern,7,1004,2438,490,3442,7.02,491.7
128,Tulane,7,1356,2101,538,3457,6.43,493.9
129,Massachusetts,7,1725,1746,471,3471,7.37,495.9
130,Arkansas State,7,2034,2016,489,4050,8.28,578.6
