,Name,G,Rush Yards,Pass Yards,Plays,Total Yards,Yards/Play,Yards/G
121,Virginia,12,2710,2882,844,5592,6.63,466
122,Akron,12,2987,2622,783,5609,7.16,467.4
123,South Florida,12,2487,3170,809,5657,6.99,471.4
124,Kent State,12,2205,3495,927,5700,6.15,475
125,Massachusetts,12,2825,2995,794,5820,7.33,485
126,Kansas,12,2998,2837,809,5835,7.21,486.3
127,New Mexico State,12,2349,3493,798,5842,7.32,486.8
128,Florida International,12,2758,3154,882,5912,6.7,492.7
129,Arkansas State,12,3133,2938,840,6071,7.23,505.9
130,Duke,12,2470,3741,873,6211,7.11,517.6
